"Parameter","Description","Instrument Count","List of Instruments"
"Sound source radio group","Selects whether notes, drums, or a layered combo drives the synth.","1","Ourorourobouroboros"
"Audio mix slider","Blends between rhythmic attack sounds and sustained Shepard-tone sound.","1","Ourorourobouroboros"
"Carousel speed slider","Sets how fast the automatic rotation/glissando speed runs.","1","Ourorourobouroboros"
"Center rhythm slider","Sets the central rhythmic pulse rate.","1","Ourorourobouroboros"
"Shepard rings stepper","Sets the number of octave-spaced Shepard tone lanes/rings.","1","Ourorourobouroboros"
"Note lift / nested distance slider","Sets the octave lift for notes and spacing of nested interruptions.","1","Ourorourobouroboros"
"Note chunk length slider","Sets the duty cycle of rhythmic note pulses.","1","Ourorourobouroboros"
"Note brightness slider","Sets the tonal brightness of the note material.","1","Ourorourobouroboros"
"Pitch threshold slider","Sets the rate/pitch boundary where rhythm fuses into a continuous tone.","1","Ourorourobouroboros"
"Interruption reach slider","Sets the octave range above the fusion threshold affected by interruptions.","1","Ourorourobouroboros"
"Fusion focus slider","Emphasizes the ring closest to the fusion threshold visually and sonically.","1","Ourorourobouroboros"
"Nested silence slider","Sets the depth of a slower silence-gating effect above the threshold.","1","Ourorourobouroboros"
"Preset grid of buttons","Loads a full saved parameter preset with one click.","1","Ourorourobouroboros"
"circular canvas track","Lets you drag or click around the ring to audition pitch/rhythm at that position.","1","Ourorourobouroboros"
"keyboard controls when focused: ArrowLeft/ArrowRight","Uses arrow and other keys to scrub position, jump to ends, set direction, or strike.","1","Ourorourobouroboros"
"Ring touch readout","Displays the current frequency/timbre at the touched ring position (read-only).","1","Ouroboros"
"Preset grid buttons","Loads a full saved parameter preset with one click.","1","Ouroboros"
"Octave bank width slider","Sets the octave span of the Shepard tone register.","1","Ouroboros"
"Parallel voice interval slider","Sets the pitch interval between simultaneous parallel Shepard voices.","1","Ouroboros"
"Hit decay slider","Sets how long each drum hit takes to decay.","1","Ouroboros"
"Character bias slider","Sets the drum timbre, morphing between different drum character types.","1","Ouroboros"
"Timbre morph depth slider","Sets how much the timbre morphs across the pitch register.","1","Ouroboros"
"Rattle mix slider","Sets the amount of noise/rattle blended into each strike.","1","Ouroboros"
"circular thick-ring canvas track","Lets you drag or click the outer ring to strike the drum bank at that position.","1","Ouroboros"
"clicking the inner core","Toggles play/pause, or reverses sweep direction if already playing.","1","Ouroboros"
"keyboard controls when focused: ArrowLeft/ArrowRight move/strike the ring position when paused","Uses arrow keys to move/strike the ring when paused, or set direction while sweeping.","1","Ouroboros"
"Home/End jump to position 0/1 and strike","Jumps the playhead to the start or end position and triggers a strike.","1","Ouroboros"
"ArrowUp/ArrowDown set Rise/Fall direction directly","Uses arrow keys to directly set the sweep direction to rise or fall.","1","Ouroboros"
"Space/Enter strikes at current pluck position","Uses Space or Enter key to trigger a strike at the current position.","1","Ouroboros"
"""P"" toggles Play/Pause","Uses the P key to toggle playback between play and pause.","1","Ouroboros"
"live readout line shows selected ring name and its direction/speed. Presets panel: grid of preset buttons","Displays the selected ring's name, direction, and speed, and offers preset buttons to load settings.","1","Ouroboros Borealis"
"Pitch glissando range slider","Sets how fast the pitch glides continuously over time.","1","Ouroboros Borealis"
"Center pitch range slider","Sets the central pitch the glissando sweeps around.","1","Ouroboros Borealis"
"Pitch bank width range slider","Sets the octave range spanned by the pitch bank.","1","Ouroboros Borealis"
"Pitch voice interval range slider","Sets the pitch interval between parallel pitch voices.","1","Ouroboros Borealis"
"Rhythm glissando range slider","Sets how fast the rhythmic rate glides continuously over time.","1","Ouroboros Borealis"
"Center rhythm range slider","Sets the central rhythmic rate the sweep centers around.","1","Ouroboros Borealis"
"Rhythm bank width range slider","Sets the octave range spanned by the rhythm bank.","1","Ouroboros Borealis"
"Rhythm voice interval range slider","Sets the interval between parallel rhythmic voices.","1","Ouroboros Borealis"
"Fast-rhythm-to-pitch coupling range slider","Sets how strongly fast rhythm changes influence pitch.","1","Ouroboros Borealis"
"Coupling focus range slider","Sets how tightly focused the rhythm-to-pitch coupling effect is.","1","Ouroboros Borealis"
"Stereo spread range slider","Sets the stereo width of the output signal.","1","Ouroboros Borealis"
"Character bias range slider","Sets the drum timbre, morphing between different drum character types.","1","Ouroboros Borealis"
"Timbre morph depth range slider","Sets how much the timbre morphs across the register.","1","Ouroboros Borealis"
"Rattle noise mix range slider","Sets the amount of noise/rattle blended into each hit.","1","Ouroboros Borealis"
"keyboard on the focused canvas - ArrowUp/ArrowDown cycles the selected ring, ArrowLeft/ArrowRight nudges the selected ring's signed speed by 0.02, Space/Enter strikes the whole field, and P toggles Play/Pause","Keyboard shortcuts for selecting and adjusting a ring's rotation speed and triggering the whole field.","1","Ouroboros Borealis"
"when File is selected, a file picker input","Lets you choose a local audio file to use as the delay's input source.","1","Sandy Syrup Delay"
"hidden HTML <audio> element plays the chosen file. Presets panel: grid of preset buttons pulled from BARBER_DELAY_PRESETS.sandy, each loading a named settings bundle","Loads a named factory preset bundle of delay settings from a shared preset library.","1","Sandy Syrup Delay"
"Sweep speed range slider","Sets the speed at which the delay's pitch/filter sweep moves.","1","Sandy Syrup Delay"
"Pitch octaves range slider","Sets the octave range covered by the pitch-shifted delay taps.","1","Sandy Syrup Delay"
"Grain voices range slider","Sets the number of simultaneous granular delay heads/voices.","1","Sandy Syrup Delay"
"Sweep tilt range slider","Biases the fade window of each grain earlier or later in its cycle.","1","Sandy Syrup Delay"
"Grain size range slider","Sets the duration of each individual delay grain.","1","Sandy Syrup Delay"
"Grain motion","Blends grain playback character between smooth (Syrup) and granular/choppy (Sand).","1","Sandy Syrup Delay"
"Safe feedback range slider","Sets the amount of delay signal fed back, capped to avoid runaway buildup.","1","Sandy Syrup Delay"
"Dry/wet range slider","Blends between the unprocessed dry signal and the delayed/wet signal.","1","Sandy Syrup Delay"
"Source choice-switch Mic/File buttons","Selects whether the delay input comes from the microphone or a file.","1","Candy Coil Delay"
"File picker input type=file accept=audio/*","Lets you choose a local audio file to use as the delay's input source.","1","Candy Coil Delay"
"Loop-file icon button","Toggles looping playback of the loaded local audio file.","1","Candy Coil Delay"
"Presets grid of buttons populated from BARBER_DELAY_PRESETS","Loads a bundled, named collection of saved delay parameter settings.","1","Candy Coil Delay"
"Direction choice-switch left-arrow/right-arrow buttons","Selects whether the delay-head sweep moves falling or rising.","1","Candy Coil Delay"
"Head speed slider","Sets how fast the delay head sweeps back and forth across its range.","1","Candy Coil Delay"
"Delay range slider","Sets the span/distance the delay head sweeps, shaping the delay-time modulation depth.","1","Candy Coil Delay"
"Tap range button","Lets you tap in a tempo to set the delay range by rhythm instead of dragging.","1","Candy Coil Delay"
"Lock 1:1 toggle button","Locks the delay range to the reciprocal of head speed so they stay proportionally linked.","1","Candy Coil Delay"
"Delay heads slider","Sets how many delay/echo voices (heads) are active at once.","1","Candy Coil Delay"
"Window tilt slider","Skews where within the sweep cycle the delay head's peak/window occurs.","1","Candy Coil Delay"
"Safe feedback slider","Sets the amount of signal fed back into each delay head, controlling repeats.","1","Candy Coil Delay"
"Feedback time slider","Sets the time length of the feedback delay loop.","1","Candy Coil Delay"
"Dry/wet slider","Balances the mix between unprocessed (dry) and delayed (wet) signal.","1","Candy Coil Delay"
"Loop/Ping-pong choice-switch buttons","Chooses whether playback loops back to the start or bounces back and forth along the path.","1","L-System"
"Iteration-playback select dropdown","Chooses how multiple grammar growth iterations are scheduled/played back over time.","1","L-System"
"Grammar preset select dropdown","Loads a preset L-system grammar shape (tree, plant, coral, fractal curve, etc.).","1","L-System"
"Pitch data select dropdown","Chooses which structural feature of the growth (angle, position, depth, progress) drives pitch.","1","L-System"
"Trunk frequency slider","Sets the base/root pitch frequency the tree structure is built from.","1","L-System"
"Angle pitch scale slider","Sets how many octaves of pitch change per full turn of branch angle.","1","L-System"
"Depth-to-timbre slider","Sets how strongly branch depth affects the resulting timbre.","1","L-System"
"Modulation depth slider","Sets the maximum FM/PM modulation index applied to the sound.","1","L-System"
"Branch amplitude envelope editor","A draggable node canvas for reshaping each branch's amplitude/velocity envelope over time.","1","L-System"
"Geometry-view buttons Orbit/Stack/Causal","Switches the visualization mode used to display the recursive structure.","1","Recursion"
"Seed source buttons Noise/Impulse/Mic/Audio","Chooses the input source that seeds the recursion (noise, impulse, mic, or audio file).","1","Recursion"
"Capture button","Records a few seconds of live mic/audio input to use as the recursion source.","1","Recursion"
"Audio-file picker input type=file accept=audio/*","Lets you upload a local audio file to use as the recursion's source material.","1","Recursion"
"Listen/Play transport button","Starts or stops playback of the processed recursive audio.","1","Recursion"
"Turn/step button","Manually advances the recursion by one step/generation.","1","Recursion"
"Center/restart button","Resets the playback position back to the start.","1","Recursion"
"Cycle timeline/scrub control","Shows elapsed time and lets you scrub to a point in the recursion cycle.","1","Recursion"
"Live tree sliders Timbre, Pitch, Rhythm, Phrase, Twist, Memory","Live-adjusts six core dimensions of the recursive sound while it plays.","1","Recursion"
"Depth slider","Sets how many recursive generations/levels are computed.","1","Recursion"
"Pace slider","Sets the timing duration of each recursive generation.","1","Recursion"
"Fold/transform slider","Sets the amount of geometric folding/transformation applied at each recursion step.","1","Recursion"
"Pressure/intensity slider","Sets the drive/feedback intensity feeding the recursive process.","1","Recursion"
"Ancestors/Maximum density-action buttons","Chooses whether all ancestor layers accumulate or only the deepest generation plays.","1","Recursion"
"Space bar on canvas toggles play/pause","Pressing spacebar starts or stops playback.","1","Recursion"
"Escape key stops capture and disables audio","Pressing Escape halts recording/capture and mutes audio output.","1","Recursion"
"FM level slider","Sets the amount of FM (frequency modulation) applied to the sound.","1","Enveloper"
"Cycle position slider","Scrubs the playhead position through the whole envelope tree cycle.","1","Enveloper"
"Preset buttons Canopy/Long middle/Glass rain/Constellation","Loads a named preset arrangement of the envelope tree.","1","Enveloper"
"Whole-tree duration slider","Sets the total playback duration of the whole envelope tree cycle.","1","Enveloper"
"""Make every split even"" button","Resets all node time-splits in the tree to be equal.","1","Enveloper"
"Leaf selector 1-9 buttons","Selects which of the nine FM leaves is currently being edited.","1","Enveloper"
"Leaf FM timbre slider","Sets the brightness/metallic quality of FM modulation for the selected leaf.","1","Enveloper"
"Leaf base-pitch slider","Sets the base pitch of the currently selected leaf.","1","Enveloper"
"Pitch-bend contour 4 node-level sliders","Shapes the four-stage pitch envelope contour of the selected leaf.","1","Enveloper"
"FM-index contour 4 node-level sliders","Shapes the four-stage FM-index envelope contour of the selected leaf.","1","Enveloper"
"Preview-selected-leaf button","Plays the currently selected leaf in isolation to audition it.","1","Enveloper"
"Node time slider","Sets the time position of a selected envelope tree node.","1","Enveloper"
"Node level slider","Sets the amplitude/level value of a selected envelope tree node.","1","Enveloper"
"Bottom pitch slider","Sets the lowest pitch assigned to any leaf in the tree.","1","Enveloper"
"Vertical pitch span slider","Sets the total pitch range spanned across the tree's leaves.","1","Enveloper"
"FM field depth slider","Scales the overall FM modulation index across the whole instrument.","1","Enveloper"
"Reset Enveloper button","Restores the instrument to its default settings.","1","Enveloper"
"pointer-drag on hollow envelope nodes","Dragging a node horizontally redistributes time among siblings, vertically changes its level.","1","Enveloper"
"pointer-drag on colored leaf orbs","Dragging a leaf horizontally changes its base FM timbre, vertically its base pitch.","1","Enveloper"
"keyboard: number keys 1-9 select a leaf, Arrow keys nudge the selected node/leaf value","Keyboard shortcuts select a leaf and nudge the selected node's/leaf's value, with Enter previewing it.","1","Enveloper"
"Boundary position slider","Scrubs the playhead along the fractal's boundary.","1","Julia"
"Complex-constant preset select dropdown","Loads a preset complex-number constant defining the Julia set shape.","1","Julia"
"Real-part slider","Sets the real component of the Julia set's complex constant.","1","Julia"
"Imaginary-part slider","Sets the imaginary component of the Julia set's complex constant.","1","Julia"
"Escape-iterations slider","Sets the maximum iteration count used to determine fractal escape/boundary detail.","1","Julia"
"Boundary-grid/resolution slider","Sets the grid resolution used to compute the fractal boundary.","1","Julia"
"Contour-treatment/simplify slider","Smooths or simplifies the boundary contour, reducing or adding detail points.","1","Julia"
"View-zoom slider","Sets the zoom level of the fractal view.","1","Julia"
"Reset Julia button","Restores the instrument to its default settings.","1","Julia"
"Turn-polarity choice-switch Left rises/Right rises buttons","Chooses whether leftward or rightward turns raise pitch.","1","Julia"
"Pitch-per-full-turn slider","Sets how many octaves of pitch change occur per full turn along the boundary.","1","Julia"
"Corner-glide slider","Sets how smoothly pitch glides through sharp corners in the boundary path.","1","Julia"
"Self-similarity experiment select dropdown","Chooses a sonification mode that highlights the fractal's self-similar structure.","1","Julia"
"Boundary-motif slider","Sets the size/scale of the repeating motif traced along the boundary.","1","Julia"
"Inverse-depth slider","Sets how many inverse-iteration echoes are computed and played.","1","Julia"
"Reference-duration slider","Sets the playback duration of one reference traversal cycle.","1","Julia"
"Auditioned-branch choice-switch +sqrt/-sqrt buttons","Chooses which square-root branch of the inverse map is auditioned.","1","Julia"
"Trace-inverse-echoes / Audition-plan / Zoom-to-echo action buttons","Triggers computing inverse echoes, previewing the plan, or zooming the view to a traced echo.","1","Julia"
"Synth mode select dropdown","Chooses the synthesis mode, e.g. basic Shepard tone or Shepard plus vertical harmony.","1","Julia"
"Shepard-center/base-frequency slider","Sets the center/base frequency of the Shepard-tone synthesis.","1","Julia"
"Spectral-width slider","Sets how many octaves wide the Shepard-tone spectral spread is.","1","Julia"
"mouse wheel / pinch","Zooms the fractal view in or out around the pointer.","1","Julia"
"drag on empty space or Shift-drag","Pans the fractal view.","1","Julia"
"drag near boundary","Scrubs the playhead position along the boundary.","1","Julia"
"keyboard Arrow keys","Scrubs the boundary position using the arrow keys.","1","Julia"
"Play/pause depth-motion button","Starts or stops automatic motion through fractal zoom depth.","1","Striped Staircase"
"Depth position T slider","Scrubs progress through the current staircase zoom sequence.","1","Striped Staircase"
"Steps/Slide motion choice-switch buttons","Chooses whether depth motion advances in discrete steps or slides continuously.","1","Striped Staircase"
"Equal time/Shape time/Depth zoom step-clock choice-switch buttons","Chooses how playback time is allocated across each depth step.","1","Striped Staircase"
"Zoom depth slider","Sets how many octaves of zoom depth are traversed, active only in Depth zoom timing mode.","1","Striped Staircase"
"Depth-rail step buttons","Jumps directly to a specific depth step by clicking its button.","1","Striped Staircase"
"Fractal-location select dropdown","Loads a preset location/region within the fractal to explore.","1","Striped Staircase"
"Fractal-location quick-pick buttons Seahorse/Whole set/Spiral arms/Mini set","Quickly jumps to one of several named fractal locations.","1","Striped Staircase"
"Reset selected view button","Resets the current view back to its default position and zoom.","1","Striped Staircase"
"Zoom-out/Home/Zoom-in buttons","Steps the view zoom out, back to home, or in.","1","Striped Staircase"
"First-depth slider","Sets the starting zoom/iteration depth for the staircase.","1","Striped Staircase"
"Field-detail/max-iterations slider","Sets the maximum iteration count controlling fractal render detail.","1","Striped Staircase"
"Stair-steps slider","Sets the number of steps in the staircase structure.","1","Striped Staircase"
"Stripe-width slider","Sets the width of the color/iteration stripes rendered on the fractal.","1","Striped Staircase"
"Edge-softness slider","Sets how soft or sharp the edges of the fractal stripes appear.","1","Striped Staircase"
"Palette buttons Glass/Ember/Ultraviolet/Ink","Selects a color palette used to recolor the fractal.","1","Striped Staircase"
"Shape-player choice-switch Shape fill/Wavy depth line/Shape drums/Ensemble buttons","Chooses the playback mode used to sonify the fractal's shape.","1","Striped Staircase"
"Field-polarity choice-switch White sounds/Black sounds buttons","Chooses whether the interior (black) or exterior (white) field region is sonified.","1","Striped Staircase"
"Color-to-sound-scheme select dropdown","Chooses how the fractal's coloring maps to the sound generated.","1","Striped Staircase"
"Depth pitch range slider","Sets the octave range pitch spans across the zoom depth.","1","Striped Staircase"
"Edge noise slider","Sets the amount of noise/roughness added at fractal edges.","1","Striped Staircase"
"Spatial spread slider","Sets how widely sound elements are spread across the stereo field.","1","Striped Staircase"
"Mass body / Contour voices / Rhythm crossings / Micro-detail analysis-mix sliders","Blends the relative levels of four sonification layers analyzing the fractal.","1","Striped Staircase"
"drag","Pans the fractal view by dragging.","1","Striped Staircase"
"wheel/pinch","Zooms the view in or out around the pointer.","1","Striped Staircase"
"double-click","Dives/zooms into the fractal at the clicked point.","1","Striped Staircase"
"keyboard: +/- zoom, Home reset view, Space play/pause, Left/Right arrow move one depth step","Keyboard shortcuts for zoom, view reset, play/pause, and stepping through depth.","1","Striped Staircase"
"Character preset buttons Seed Pulse/Deep Well/Glass Lattice/Undertow/High Window/Bent Brass","Loads a named parameter preset shaping the instrument's overall character.","1","Recursive FM"
"Frequency offset slider","Shifts the carrier/modulator frequency by a fine offset amount.","1","Recursive FM"
"Downloadable REAPER JSFX plugin link","Downloads a REAPER plugin version of the instrument for external use.","1","Recursive FM"
"Character preset buttons Feedback Nest/Slow Furnace/Glass Hive/Cut Current/Brass Moth","Loads a named parameter preset shaping the instrument's overall character.","1","Chaotic FM"
"Entry offset slider","Shifts the entry/carrier frequency by a fine offset amount.","1","Chaotic FM"
"Nonlinearity rate slider","Sets a frequency-scale parameter applied after the nonlinear (tanh) shaping stage.","1","Chaotic FM"
"Download-plugin link/button for the REAPER JSFX v0.3.0 build","Downloads a REAPER plugin build of the instrument for external use.","1","Chaotic FM"
"Transfer select dropdown","Chooses the transfer-function/curve mode used for the nonlinear waveshaping.","1","Chaotic PM"
"Chaos/phase-warp slider","Sets the amount of phase-warp nonlinearity, adding chaotic character to the sound.","1","Chaotic PM"
"Character preset buttons Brass Choir/Bell Tower/Neon Reed/Glass Forest/Organ Pulse/Electric Wind","Loads a named parameter preset shaping the instrument's overall character.","1","Cascading FM"
"Mod depth slider","Sets the FM modulation depth fed from the first synthesis stage into the next.","1","Cascading FM"
"Depth taper slider","Scales how the modulation depth decreases across successive cascaded stages.","1","Cascading FM"
"""Flat FM index"" readout shows the ratio that would keep index constant)","Displays the frequency ratio that would keep the FM index constant across stages.","1","Cascading FM"
"Phase index slider","Sets the maximum phase-modulation offset fed from the first stage into the next.","1","Cascading PM"
"Index taper slider","Sets the multiplier applied to phase index at each stage hand-off.","1","Cascading PM"
"readout shows the taper value that keeps displacement constant)","Displays the taper value needed to keep phase displacement constant across stages.","1","Cascading PM"
"Mode buttons Wave/FM/PM, click, switches synthesis algorithm while keeping the shared partial lattice","Switches between waveform, FM, and PM synthesis modes while reusing the same partial structure.","1","Weierstrass"
"Character preset grid of 10 buttons","Recalls a full named parameter preset, revealing controls relevant to the active mode.","1","Weierstrass"
"Display zoom slider, range 1-8 step 0.1, drag, visual-only zoom of the lattice graphic, does not change pitch","Zooms the visual lattice graphic without affecting the sound.","1","Weierstrass"
"Terms slider, range 1-48 step 1, drag or Up/Down arrow keys on canvas, requested partial count","Sets how many partials/terms are summed in the synthesis.","1","Weierstrass"
"Start exponent slider, range 0-47 step 1, drag","Sets the starting exponent/index of the first partial in the series.","1","Weierstrass"
"Amplitude ratio a slider, range 0-2 step 0.01, drag, per-term amplitude decay","Sets how quickly each successive partial's amplitude decays.","1","Weierstrass"
"Frequency ratio b slider, range 0.125-11 step 0.001, drag, per-term frequency multiplier","Sets the frequency multiplier applied between successive partials.","1","Weierstrass"
"Base-term frequency slider, range 0-1 step 0.0001 logarithmic, drag","Sets the base frequency of the first partial in the series.","1","Weierstrass"
"FM deviation slider, range 0-1 step 0.0001, drag, FM mode only","Sets the amount of frequency deviation applied in FM mode.","1","Weierstrass"
"Frequency offset slider, range 0-1 step 0.0001, drag, FM mode only","Shifts the modulator frequency by a fine offset in FM mode.","1","Weierstrass"
"Phase oscillator slider, range 0-1 step 0.0001, drag, PM mode only","Sets the rate of the phase-modulating oscillator in PM mode.","1","Weierstrass"
"Phase index slider, range 0-1 step 0.0001, drag, PM mode only","Sets the amount of phase-modulation index applied in PM mode.","1","Weierstrass"
"Reset parameters button, click, restores default preset","Restores the instrument to its default parameter settings.","1","Weierstrass"
"Play/Pause transport button, click or Space, toggles the static field","Starts or stops the plasma discharge simulation and its audio.","1","Plasma Ball"
"Surge button, click or Enter, sends an extra discharge burst","Triggers an extra burst of electrical discharge activity and sound.","1","Plasma Ball"
"Reset button, click, restores defaults","Restores the instrument to its default settings.","1","Plasma Ball"
"Filaments slider, range 4-18 step 1, drag, number of discharge arcs, rebuilds the bolt set","Sets how many discharge arc filaments are rendered and sonified.","1","Plasma Ball"
"Glass attraction slider, range 0-1 step 0.01, drag","Sets how strongly discharge filaments are attracted toward the glass surface.","1","Plasma Ball"
"Speed / intensity slider, range 0-1 step 0.01, drag, scales simultaneous slow+fast filament rates and discharge force","Scales the speed and force of the filament discharges and their rate of firing.","1","Plasma Ball"
"Arc chaos slider, range 0-1 step 0.01, drag","Sets how erratic/random the discharge arcs' paths are.","1","Plasma Ball"
"Branch density slider, range 0-1 step 0.01, drag","Sets how densely the discharge arcs branch outward.","1","Plasma Ball"
"Low frequency slider, range 28-220 Hz step 1, drag, base pitch floor","Sets the lowest pitch floor used by the sound.","1","Plasma Ball"
"Pitch span slider, range 0.5-6 octaves step 0.1, drag, free-pitch range mapped from arc angle","Sets how many octaves of pitch range map to the arc's angle.","1","Plasma Ball"
"pointer drag/move/down/up attracts sparks toward the pointer and, on first touch, starts audio","Moving the pointer over the canvas attracts sparks and starts audio playback on first touch.","1","Plasma Ball"
"keyboard, Space toggles play, Left/Right arrow moves a keyboard attractor, Enter surges, Escape stops audio","Keyboard shortcuts control play/pause, move an attractor, trigger a surge, and stop audio.","1","Plasma Ball"
"Play synth transport button or Space, starts/stops the acid pattern","Starts or stops playback of the acid-style sequenced pattern.","1","WebGPU 303"
"Randomize patch and Mutate patch buttons, click, randomize or nudge all knob parameters within safe ranges","Randomizes or slightly nudges all synth knob parameters within safe ranges.","1","WebGPU 303"
"Preset grid of 12 named acid patches such as Source Acid Synth, Lysergic Ribbon and Astral Smear, click","Loads one of twelve named acid-synth patch presets.","1","WebGPU 303"
"Source noise, Randomize, Mutate and Invert sequence buttons, click, transform the 16-step pattern","Applies noise-based generation, randomization, mutation, or inversion to the 16-step sequence.","1","WebGPU 303"
"15 rotary knob controls, drag vertically or mouse wheel or arrow keys when focused, for Clock rate, Bar length, Cutoff/Sweep, Resonance, Drive, Wobble/LFO, Astral/Stereo, Tune/Fundamental, Note range, Fold/Ratio, Sample offset, Color/Partials, Accent decay, Shader gain, and Oracle/Seed","Fifteen knobs adjusting tempo, filter, drive, modulation, tuning, and visual/seed parameters of the synth.","1","WebGPU 303"
"Workgroup size select, 32/64/128/256 lanes","Sets the GPU compute workgroup size used to run the synthesis shader.","1","WebGPU 303"
"shared knob bank of the same 15 core WebGPU 303 controls grouped into Transport, Voice, Filter and Core sections plus an XL section adding Harmonic morph","Groups the core acid-synth knobs plus extra harmonic morph, chorus, and delay controls.","1","SIMD 303"
"Play synth transport button or Space","Starts or stops playback of the synth's sequenced pattern.","1","SIMD 303"
"Randomize patch and Mutate patch buttons","Randomizes or slightly nudges all synth knob parameters.","1","SIMD 303"
"Source noise, Randomize, Mutate and Invert sequence buttons","Applies noise-based generation, randomization, mutation, or inversion to the sequence.","1","SIMD 303"
"Step-expression lane buttons Pitch/Accent/Gate/Slide/Chance, click, selects which per-step lane the step grid edits","Selects which per-step parameter lane the sequencer grid is currently editing.","1","SIMD 303"
"Acidize steps, Randomize expression and Reset expression buttons","Applies an acid-style pattern, randomizes, or resets the step-expression lanes.","1","SIMD 303"
"Stage preset select plus Recall preset button","Chooses and recalls a named stored preset.","1","SIMD 303"
"Save and Delete named user-preset controls, text input plus buttons, stored in the browser","Saves or deletes a custom named preset stored locally in the browser.","1","SIMD 303"
"Capture morph A and B buttons, Swap button, Morph time slider range 0-1 step 0.001 plus unit/scope/target selects, and Start Morph button that crossfades between two captured patch snapshots","Captures two patch snapshots and crossfades between them over a set morph time.","1","SIMD 303"
"Preset grid","Displays a grid of selectable presets to load.","1","SIMD 303"
"oscilloscope canvas, visual only","Displays a live waveform visualization of the audio, with no control function.","1","SIMD SYNTH"
"X/Y expression pad, drag or arrow keys plus Enter/Space, X morphs sources and Y shapes tone, pressing also plays a note","A 2D pad where the X axis morphs sound sources and Y axis shapes tone, also triggering notes.","1","SIMD SYNTH"
"16-step sequencer grid with lane-select buttons Pitch/Gate/Accent/Slide, click to switch the edited lane, drag across steps to paint values, plus Randomize/Mutate/Rotate/Reset buttons","Edits a 16-step sequence across multiple parameter lanes, with tools to randomize, mutate, rotate, or reset it.","1","SIMD SYNTH"
"two-octave on-screen keyboard row, click or the Z-M/Q-U keys","Plays notes across two octaves via mouse clicks or mapped computer keys.","1","SIMD SYNTH"
"BPM slider, range 30-240","Sets the sequencer/transport playback tempo in beats per minute.","1","SIMD SYNTH"
"Init, Undo, Random and Panic buttons","Resets, undoes, randomizes the patch, or stops all sound immediately.","1","SIMD SYNTH"
"Save preset with a name field, and Delete preset button","Saves the current patch under a chosen name or deletes a stored preset.","1","SIMD SYNTH"
"Generator A: source-algorithm select plus Tune","Chooses generator A's sound-source algorithm and its tuning, color, motion, and detail.","1","SIMD SYNTH"
"Generator B: identical knob set and its own source select","Chooses generator B's sound-source algorithm with the same set of tone controls as generator A.","1","SIMD SYNTH"
"Combine section: Algorithm select, Balance slider","Chooses how the two generators are combined and their relative balance and drive.","1","SIMD SYNTH"
"Shaper/Filters order-swap button","Swaps the processing order between the waveshaper and filter stages.","1","SIMD SYNTH"
"Shaper select plus Amount slider","Chooses a waveshaping algorithm and sets how strongly it's applied.","1","SIMD SYNTH"
"Filter routing select and Filter Blend slider","Chooses how the two filters are routed and blends their output.","1","SIMD SYNTH"
"Filter 1 and Filter 2 each with a type select, log-mapped Cutoff slider, and Resonance slider","Sets filter type, cutoff frequency, and resonance for each of two filters.","1","SIMD SYNTH"
"Envelope/LFO section: log-mapped Attack and Decay, Sustain, log-mapped Release, Glide, Stereo width, Voice drift, and two log-mapped LFO rate sliders","Shapes the amplitude envelope, note glide, stereo width, voice drift, and two LFO rates.","1","SIMD SYNTH"
"FX order-swap button","Swaps the processing order between the two effects units.","1","SIMD SYNTH"
"FX1 and FX2 each with a type select, Wet, log-mapped Time, and Feedback sliders","Sets effect type, wet mix, time, and feedback for each of two effects units.","1","SIMD SYNTH"
"sequencer transport section: Swing, Length","Sets sequencer swing amount, pattern length, gate length, root note, and scale.","1","SIMD SYNTH"
"Play chiptune transport button or Space","Starts or stops playback of the chiptune pattern.","1","WebGPU Chiptune"
"Previous/Next preset buttons with a character-preset readout","Steps forward or backward through named character presets.","1","WebGPU Chiptune"
"Character performance canvas, six arcade-invader bays, click a performer to select it, drag to change its two live effects, plus keyboard Arrow/PageUp/PageDown/Home/M/S","Selects one of six on-screen performers and drags to adjust its two live effect parameters.","1","WebGPU Chiptune"
"six Mute/Solo button pairs, one per voice, Upper A, Upper B, Bass, Lead, Arp and Drums, with live effect readouts","Mutes or solos each of the six instrument voices and shows their live effect settings.","1","WebGPU Chiptune"
"Sequence-editor canvas, click selects, double-click toggles on/off, drag sets pitch/volume, plus keyboard Arrow/PageUp/PageDown/Home/End/Enter/Space/A/N/R/Delete","Interactive step grid for editing note pitch, volume and on/off state via mouse or keyboard.","1","WebGPU Chiptune"
"Sequence-view radio toggle between Sequence and Pattern pad","Switches the editor view between linear sequence editing and a pattern pad layout.","1","WebGPU Chiptune"
"Playback structure select, Pattern versus Song","Chooses whether playback loops a single pattern or plays the full song arrangement.","1","WebGPU Chiptune"
"voice-lane tab picker","Selects which instrument voice's lane is shown for editing.","1","WebGPU Chiptune"
"step-state buttons Reset Step, Draw Note, Silence","Sets the edit tool for a step: clear it, draw a note, or force silence.","1","WebGPU Chiptune"
"semitone-offset slider plus number input, range -72..72","Transposes the selected step or lane up or down by semitones.","1","WebGPU Chiptune"
"selected-step volume slider, range 0-100","Sets the loudness of the currently selected step.","1","WebGPU Chiptune"
"Follow toggle button","Toggles whether the view auto-scrolls to follow the playhead during playback.","1","WebGPU Chiptune"
"Loop length number input, range 1-32","Sets how many steps the playback loop repeats over.","1","WebGPU Chiptune"
